cle_unique;emplacement_source;datetime_ingestion;privacy_level;entreprise;date;review_titre;status_employe;lieu;recommande;commentaire;avantage;incovenient
267959049052639372611548728838407148305;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;2021-03-21 17:31:12;0;Atos;Dec 9, 2019; Ok ;Ancien employé - Chef De Projet;NULL;Ne recommande pas;J'ai travaillé chez Atos à temps plein;Bonne ambiance de travail;Peu de marge de négociations
220559348044836312008305921195645149327;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;2021-03-21 17:31:12;0;Atos;Dec 9, 2019; Un appart grâce à ce job ;Ancien employé - Chef De Projet;Bezons;Recommande;J'ai travaillé chez Atos à temps plein plus de 10 ans;Y avais pas Skype il payait les voyages en Europe en 2003. Allemagne suisse Canada angleterre Espagne;Pas d’avantages pour les employés
277176916559510711390614137585432120107;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;2021-03-21 17:31:12;0;Atos;Dec 4, 2019; Belle expérience ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez Atos à temps plein;Plein de mission, en particuliers avec WorldLine;Peu de projets innovant, beaucoup plus de la maintenance d'applications
66504059816783582236514639109424851693;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;2021-03-21 17:31:12;0;Atos;Dec 2, 2019; Une ESN de plus ;Ancien employé - IT Chef de projet;Lyon;Ne recommande pas;J'ai travaillé chez Atos à temps plein plus de 10 ans;Taille du groupe, missions variées.;Course à la rentabilité, perpétuels changements de managers, pas de suivi des consultants.
316414195971862718825363492554611923167;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;2021-03-21 17:31:12;0;Atos;Nov 27, 2019; Bonne ambiance dans mon équipe ;Ancien employé - Employé anonyme;NULL;Ne recommande pas;J'ai travaillé chez Atos à temps plein;Technologie de pointe (HPC), manager directe accessible;Petit salaire Évolution quasi nulle Localisation des bureaux
194726275372241155288654693936671981912;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;2021-03-21 17:31:12;0;Atos;Nov 19, 2019; tres bonne expérience ;Employé actuel - Assistante Du CFO Groupe;Bezons;Recommande;Je travaille chez Atos à temps plein depuis plus de 10 ans;Grande entreprise mondiale, facilité pour les jeunes diplômés, de bons stages, salaires attractifs pour les ingénieurs, cadres moins pour les postes d'assistantes Evolution interne pour ceux considérés comme des Talents. Un siège moderne, avec une cantine et salle de sport, tramway à 10 min à pied Très belle expérience pour les stagiaires et alternants;Pas d’avantages pour les employés
183319243195215250081685011398803929486;13809-AVIS-SOC-GLASSDOOR-E413452_P1.html;2021-03-21 17:31:12;0;Transdev;Oct 31, 2019; Travail ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez Transdev à temps plein;Salaire Condition de travail bonne equipe;Beaucoup de travail peu de repos
9174426243804357185951723944226714409;13809-AVIS-SOC-GLASSDOOR-E413452_P1.html;2021-03-21 17:31:12;0;Transdev;Oct 28, 2019; Technicien supérieur du transport de personne ;Employé actuel - conducteur receveur;NULL;Recommande;Je travaille chez Transdev à temps plein depuis plus de 5 ans;Ouverture au monde du transport;Pas d’avantages pour les employés
167578579621390883270149159893851125773;13809-AVIS-SOC-GLASSDOOR-E413452_P1.html;2021-03-21 17:31:12;0;Transdev;Oct 23, 2019; Transdev ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez Transdev à temps plein;Transport gratuit, voiture de fonction pour les cadres, 13 eme mois, interessements;Activité en transformation, secteur d'activité concurrentiel, peu de turn over,
271746519086672325545060899877933123551;13809-AVIS-SOC-GLASSDOOR-E413452_P1.html;2021-03-21 17:31:12;0;Transdev;Oct 23, 2019; Bonne entreprise pour commencer sa carrière ;Employé actuel - Chargé De Mission;Issy;Recommande;Je travaille chez Transdev à temps plein depuis moins d'un an;Beaux locaux, salaire dans la moyenne du marché, missions intéressantes, équipe sympathique.;Pas d'inconvénients pour le moment.
