dep;week;P;cl_age90;pop
03;2020-S28;0;90;7107
03;2020-S28;3;0;331315
03;2020-S29;0;09;30871
03;2020-S29;0;19;35788
03;2020-S29;1;29;28141
03;2020-S29;4;39;33349
03;2020-S29;3;49;39464
03;2020-S29;0;59;45840
03;2020-S29;0;69;48958
03;2020-S29;0;79;38220
03;2020-S29;0;89;23577
03;2020-S29;0;90;7107
03;2020-S29;8;0;331315
03;2020-S30;4;09;30871
03;2020-S30;1;19;35788
03;2020-S30;6;29;28141
03;2020-S30;1;39;33349
03;2020-S30;1;49;39464
03;2020-S30;0;59;45840
03;2020-S30;0;69;48958
03;2020-S30;2;79;38220
03;2020-S30;0;89;23577
03;2020-S30;0;90;7107
03;2020-S30;15;0;331315
03;2020-S31;0;09;30871
03;2020-S31;3;19;35788
03;2020-S31;1;29;28141
03;2020-S31;3;39;33349
03;2020-S31;0;49;39464
03;2020-S31;1;59;45840
03;2020-S31;1;69;48958
03;2020-S31;0;79;38220
03;2020-S31;0;89;23577
03;2020-S31;0;90;7107
03;2020-S31;9;0;331315
03;2020-S32;1;09;30871
03;2020-S32;2;19;35788
03;2020-S32;1;29;28141
03;2020-S32;1;39;33349
03;2020-S32;0;49;39464
03;2020-S32;0;59;45840
03;2020-S32;1;69;48958
03;2020-S32;1;79;38220
03;2020-S32;1;89;23577
03;2020-S32;0;90;7107
03;2020-S32;8;0;331315
03;2020-S33;0;09;30871
03;2020-S33;1;19;35788
03;2020-S33;2;29;28141
03;2020-S33;3;39;33349
03;2020-S33;1;49;39464
03;2020-S33;0;59;45840
03;2020-S33;1;69;48958
03;2020-S33;3;79;38220
03;2020-S33;0;89;23577
03;2020-S33;1;90;7107
03;2020-S33;12;0;331315
03;2020-S34;0;09;30871
03;2020-S34;8;19;35788
03;2020-S34;7;29;28141
03;2020-S34;4;39;33349
03;2020-S34;3;49;39464
03;2020-S34;4;59;45840
03;2020-S34;3;69;48958
03;2020-S34;4;79;38220
03;2020-S34;0;89;23577
03;2020-S34;0;90;7107
03;2020-S34;33;0;331315
03;2020-S35;0;09;30871
03;2020-S35;8;19;35788
03;2020-S35;15;29;28141
03;2020-S35;5;39;33349
03;2020-S35;8;49;39464
03;2020-S35;7;59;45840
03;2020-S35;9;69;48958
03;2020-S35;4;79;38220
03;2020-S35;1;89;23577
03;2020-S35;1;90;7107
03;2020-S35;58;0;331315
03;2020-S36;2;09;30871
03;2020-S36;14;19;35788
03;2020-S36;25;29;28141
03;2020-S36;6;39;33349
03;2020-S36;6;49;39464
03;2020-S36;11;59;45840
03;2020-S36;3;69;48958
03;2020-S36;6;79;38220
03;2020-S36;1;89;23577
03;2020-S36;1;90;7107
03;2020-S36;75;0;331315
03;2020-S37;3;09;30871
03;2020-S37;7;19;35788
03;2020-S37;36;29;28141
03;2020-S37;12;39;33349
03;2020-S37;17;49;39464
03;2020-S37;14;59;45840
03;2020-S37;7;69;48958
03;2020-S37;1;79;38220
03;2020-S37;4;89;23577
03;2020-S37;1;90;7107
03;2020-S37;102;0;331315
03;2020-S38;4;09;30871
03;2020-S38;23;19;35788
03;2020-S38;41;29;28141
03;2020-S38;11;39;33349
03;2020-S38;16;49;39464
03;2020-S38;16;59;45840
03;2020-S38;5;69;48958
03;2020-S38;2;79;38220
03;2020-S38;8;89;23577
03;2020-S38;4;90;7107
03;2020-S38;130;0;331315
03;2020-S39;0;09;30871
03;2020-S39;9;19;35788
03;2020-S39;22;29;28141
