cle_unique;emplacement_source;datetime_ingestion;privacy_level;nom_entreprise;site_web;taille;date_fondation;secteur;revenu;type_entreprise
183335384393467269216830283522154594895;13777-INFO-SOC-GLASSDOOR-E116383_P1.html;2021-03-21 11:49:23;0;GFI; 28;www.gfi.su;De 51 à 200 employés; Inconnu; Jeux vidéo; Ne sait pas / non applicable par an; Entreprise non cotée en bourse
317360206446384093329294126708332482848;13745-INFO-SOC-GLASSDOOR-E3803_P1.html;2021-03-21 11:49:23;0;Capgemini; 20k;www.fr.capgemini.com;Plus de 10 000 employés; 1967; Solutions logicielles et réseau d'entreprise; Entre 1 et 2 milliards € (EUR) par an; Entreprise cotée en bourse (CAP) 
185843638325609780248463049898836470775;13627-INFO-SOC-GLASSDOOR-E253618_P1.html;2021-03-21 11:49:23;0;Concordia University; 519;www.concordia.ca;De 5 001 à 10 000 employés; Inconnu; Enseignement supérieur et universités; Entre 100 et 500 millions € (EUR) par an; Enseignement supérieur/universitaire
51287736999992684095867854090824238546;13711-INFO-SOC-GLASSDOOR-E3043501_P1.html;2021-03-21 11:49:23;0;Crédit Agricole d'Ile de France; 4;www.ca-paris.com;De 1 001 à 5 000 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Inconnu
69843374384608204702283075937371831879;13614-INFO-SOC-GLASSDOOR-E230035_P1.html;2021-03-21 11:49:23;0;SeLoger; 56;www.recrutement.seloger.com;De 501 à 1 000 employés; 1992; Édition; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
233423398647625257033392002607720204605;13625-INFO-SOC-GLASSDOOR-E192082_P1.html;2021-03-21 11:49:23;0;Polytechnique Montréal; 115;www.polymtl.ca;De 1 001 à 5 000 employés; 1873; Enseignement supérieur et universités; Ne sait pas / non applicable; Enseignement supérieur/universitaire
315097739561228658353137947794888696934;13734-INFO-SOC-GLASSDOOR-E10358_P1.html;2021-03-21 11:49:23;0;Thales; 2,0k;www.thalesgroup.com;Plus de 10 000 employés; 2000; Aérospatiale et Défense; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (HO) 
210479543947943369220885864999930892834;13770-INFO-SOC-GLASSDOOR-E1013306_P1.html;2021-03-21 11:49:23;0;D2SI; 3;www.d2-si.fr;De 51 à 200 employés; 2006; Conseils; Entre 10 et 25 millions € (EUR) par an; Entreprise non cotée en bourse
175347218630154864388863168360712724091;13562-INFO-SOC-GLASSDOOR-E1303620_P1.html;2021-03-21 11:49:24;0;2S2I Solutions & Services; 4;www.2s2isolutions.com;De 51 à 200 employés; 2007; Services informatiques; Entre 5 et 10 millions € (EUR) par an; Autre organisation
287676997737869251869884261312049507215;13676-INFO-SOC-GLASSDOOR-E1130981_P1.html;2021-03-21 11:49:24;0;Groupe Altice Média; 9;www.lexpress.fr;De 501 à 1 000 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Inconnu
154677318850854227552123757601891050941;13636-INFO-SOC-GLASSDOOR-E1303620_P1.html;2021-03-21 11:49:24;0;2S2I Solutions & Services; 4;www.2s2isolutions.com;De 51 à 200 employés; 2007; Services informatiques; Entre 5 et 10 millions € (EUR) par an; Autre organisation
141030153468609156992333746356815844442;13551-INFO-SOC-GLASSDOOR-E794111_P1.html;2021-03-21 11:49:24;0;Atos; 56;www.atos.com;Entre 201 et 500 employés; Inconnu; Fabrication d'appareils électriques et électroniques; Entre 50 et 100 millions € (EUR) par an; Entreprise non cotée en bourse
231584352485337239144241145738599570114;13574-INFO-SOC-GLASSDOOR-E1130973_P1.html;2021-03-21 11:49:24;0;Groupe Adéquat; 49;www.groupeadequat.com;De 501 à 1 000 employés; 1987; Recrutement et sous-traitance; Entre 500 millions et 1 milliard € (EUR) par an; Entreprise non cotée en bourse
258195423281562769863435615376218113772;13716-INFO-SOC-GLASSDOOR-E466295_P1.html;2021-03-21 11:49:24;0;Sopra Steria; 2,6k;www.soprasteria.com;Plus de 10 000 employés; 1968; Services informatiques; Entre 2 et 5 milliards € (EUR) par an; Entreprise cotée en bourse (SOP:EN Paris) 
29763626778185501473991213291104714176;13552-INFO-SOC-GLASSDOOR-E2131167_P1.html;2021-03-21 11:49:24;0;Atos Consulting; 24;www.ctp.com;De 1 001 à 5 000 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise cotée en bourse
286560406624230500582911233676227477770;13630-INFO-SOC-GLASSDOOR-E456207_P1.html;2021-03-21 11:49:24;0;Eidos Montreal; 54;www.eidosmontreal.com;Entre 201 et 500 employés; Inconnu; Jeux vidéo; Entre 25 et 50 millions € (EUR) par an; Entreprise cotée en bourse
98341550798191874412942399751919303030;13678-INFO-SOC-GLASSDOOR-E379472_P1.html;2021-03-21 11:49:24;0;Logware; 33;www.logware.fr;Entre 201 et 500 employés; 1997; Conseils; Moins d&#039;1 million € (EUR) par an; Entreprise non cotée en bourse
330347624936786717444983395219278969817;13779-INFO-SOC-GLASSDOOR-E33451_P1.html;2021-03-21 11:49:25;0;GFI Software; 57;www.gfi.com;De 51 à 200 employés; 1992; Matériel et logiciels informatiques; Ne sait pas / non applicable; Entreprise non cotée en bourse
114986982110916399165094728137711989990;13577-INFO-SOC-GLASSDOOR-E235143_P1.html;2021-03-21 11:49:25;0;UK Ministry of Defence; 386;www.mod.uk;Plus de 10 000 employés; 1964; Organismes fédéraux; Entre 2 et 5 milliards € (EUR) par an; Gouvernement
231566917065750367344639037063928581537;13668-INFO-SOC-GLASSDOOR-E1127933_P1.html;2021-03-21 11:49:25;0;cerema; 13;www.cerema.fr;De 1 001 à 5 000 employés; 2014; Inconnu; Ne sait pas / non applicable par an; Inconnu
93867221634822903761478069826292159344;13563-INFO-SOC-GLASSDOOR-E13082_P1.html;2021-03-21 11:49:25;0;CEGID; 106;www.cegid.com;De 1 001 à 5 000 employés; 1983; Solutions logicielles et réseau d'entreprise; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
